rank,token,frequency,relative_frequency_per_1000_tokens
1,h1,30,4.583652
2,spoiler,26,3.972498
3,h3,20,3.055768
4,找法师,13,1.986249
5,盐与献祭,10,1.527884
6,但是,10,1.527884
7,tr,10,1.527884
8,好玩,8,1.222307
9,退出重进,8,1.222307
10,strike,8,1.222307
11,首先,7,1.069519
12,h2,6,0.91673
13,th,6,0.91673
14,不推荐,5,0.763942
15,地图设计,5,0.763942
16,优点,5,0.763942
17,system,5,0.763942
18,windows,5,0.763942
19,挺好玩的,5,0.763942
20,真的,5,0.763942
21,ps,5,0.763942
22,垃圾游戏,4,0.611154
23,垃圾,4,0.611154
24,法师,4,0.611154
25,缺点,4,0.611154
26,forms,4,0.611154
27,法师狩猎,4,0.611154
28,不要买,4,0.611154
29,投技,4,0.611154
30,quote,4,0.611154
31,good,4,0.611154
32,能玩,4,0.611154
33,追法师,4,0.611154
34,table,4,0.611154
35,td,4,0.611154
36,url,4,0.611154
37,毫无新意,4,0.611154
38,总之,3,0.458365
39,还不错,3,0.458365
40,取其糟粕,3,0.458365
41,狩猎法师,3,0.458365
42,其次,3,0.458365
43,eventargs,3,0.458365
44,form,3,0.458365
45,game,3,0.458365
46,不好玩,3,0.458365
47,然后,3,0.458365
48,傻逼游戏,3,0.458365
49,盐与避难所,3,0.458365
50,同时,3,0.458365
51,动作系统,3,0.458365
52,总结,3,0.458365
53,什么,3,0.458365
54,开新图,3,0.458365
55,boss,3,0.458365
56,盐和避难所,3,0.458365
57,人物养成,3,0.458365
58,武器,3,0.458365
59,陷阱是看不见的,2,0.305577
60,and,2,0.305577
61,当然,2,0.305577
62,注意,2,0.305577
63,可以一玩,2,0.305577
64,总的来说,2,0.305577
65,去其精华,2,0.305577
66,战斗方面,2,0.305577
67,打击感,2,0.305577
68,装备系统,2,0.305577
69,盐与牺牲,2,0.305577
70,更重要的是,2,0.305577
71,能出什么问题,2,0.305577
72,垃圾中的垃圾,2,0.305577
73,framework,2,0.305577
74,ondeactivate,2,0.305577
75,message,2,0.305577
76,快跑,2,0.305577
77,还行,2,0.305577
78,盐神,2,0.305577
79,虽然不如一代,2,0.305577
80,打法师,2,0.305577
81,只狼,2,0.305577
82,爱玩,2,0.305577
83,make,2,0.305577
84,plz,2,0.305577
85,是的,2,0.305577
86,别买,2,0.305577
